"","term","estimate","std.error","statistic","p.value","OR","LL","UL"
"1","DRKWEEKLY",0.0541276328066793,0.043877205985149,1.23361621578639,0.217345947614041,1.05561932521462,0.968630858236347,1.15041984290642
"2","DRKMONTHLY",0.00913487190467274,0.0447184319911306,0.204275317759007,0.838138356868232,1.00917672218227,0.924489805924763,1.10162129432657
"3","MALE",-0.576692496311914,0.0423832770120393,-13.6066047027959,3.65849260587898e-42,0.561753298383671,0.51697347093848,0.610411918569195
"4","SMOKER",0.115039386000187,0.0399867457666962,2.87693794017117,0.00401554560145441,1.12191762454953,1.03734582979961,1.2133843122674
"5","HISPANIC",0.189401227868352,0.0672941132026623,2.81452892168968,0.00488487819005262,1.20852574942967,1.05919031873437,1.37891600895648
"6","BLACK",0.151880064385868,0.0519629936342455,2.92285054735132,0.00346842952655767,1.16402062053183,1.05130536507419,1.28882059393629
"7","OTHRACE",0.331516092627493,0.0525048392538435,6.31401023865099,2.71895938060367e-10,1.39307856439235,1.25684750759941,1.54407585234915
"8","NEVERMAR",0.222556260498313,0.0981448906764418,2.26762961336442,0.0233517911824231,1.249266102007,1.03065268341355,1.5142499687235
"9","AGE4",0.134678404693616,0.0437235675568659,3.08022451549627,0.00206844607157067,1.14416876587316,1.05019956948166,1.24654608785056
"10","FORMERMAR",0.115880489812202,0.0325716185829883,3.55771358174765,0.000374096896724531,1.12286167070506,1.05341800204603,1.19688322118067
"11","FAIRHLTH",0.568786694943986,0.0375410952914003,15.1510415593623,7.45752968769029e-52,1.76612290509468,1.64083645963215,1.90097562593126
"12","POORHLTH",0.911819688569939,0.049898543394463,18.2734730623644,1.34604890673484e-74,2.48884734232584,2.25695947746668,2.74456017276626
"13","LOWED",-0.146118290336283,0.0331952351687479,-4.40178506323247,1.07363888748149e-05,0.864055487725001,0.809627550494429,0.922142391784661
"14","INC3",0.249181826971681,0.0620547944311005,4.01551289076218,5.93166563811272e-05,1.28297529137482,1.13604670145163,1.44890663048888
"15","UNDWT",0.27613317856294,0.134918783627767,2.04666222995884,0.0406912601594088,1.31802338479955,1.01176098551839,1.71699212338019
"16","OBESE",0.364725233443115,0.0305977571787145,11.9199989500158,9.31097137387731e-33,1.44011825744707,1.35629081162257,1.52912677551157
"17","INC1",0.211377772882439,0.0956138156515895,2.21074508366746,0.0270534946424547,1.23537895959104,1.02426439773811,1.49000705010394
